complaint_text,priority
"My internet is not working for two days",High
"Billing error in my last invoice",Medium
"Website login page is very slow",Low
"Received wrong product, need urgent replacement",High
"Customer support is not responding",Medium
"I am unable to access my Gmail account",High
"Met with John Doe yesterday regarding service issues",Medium
"Order from Amazon has not been delivered",High
"Flight to New York got cancelled without any notification",High
"Warranty for my iPhone is still pending after two months",Low
"Barack Obama was born in Hawaii and worked at Google."
